,Training Accuracies
0,0.2
1,0.4
2,0.2
3,0.6
4,0.4
5,0.4
6,0.2
7,0.2
8,0.2
9,0.2
10,0
11,0
12,0.2
13,0.2
14,0
15,0.2
16,0
17,0.6
18,0.4
19,0.6
20,0.4
21,0.2
22,0.4
23,0.2
24,0.2
25,0.2
26,0
27,0
28,0.6
29,0.2
30,0.4
31,0.2
32,0.2
33,0.2
34,0
35,0.4
36,0
37,0.4
38,0.4
39,0.2
40,0.4
41,0.4
42,0.2
43,0
44,0.2
45,0.4
46,0
47,0
48,0.4
49,0
50,0.4
51,0
52,0
53,0.4
54,0.2
55,0
56,0.2
57,0.4
58,0.4
59,0.2
60,0.4
61,0.4
62,0
63,0.4
64,0
65,0.2
66,0.2
67,0.2
68,0.4
69,0.2
70,0.6
71,0
72,0
73,0.2
74,0.2
75,0.2
76,0.4
77,0.2
78,0.4
79,0.6
80,0.4
81,0.6
82,0
83,0.2
84,0
85,0.2
86,0.2
87,0
88,0
89,0.2
90,0.2
91,0.2
92,0.2
93,0.4
94,0.4
95,0.6
96,0.2
97,0.4
98,0.2
99,0.2
100,0.6
101,0.6
102,0
103,0.4
104,0.4
105,0.4
106,0.6
107,0.4
108,0.2
109,0
110,0.2
111,0.2
112,0.2
113,0.2
114,0.2
115,0
116,0.2
117,0
118,0.4
119,0.2
120,0.6
121,0
122,0.2
123,0
124,0.4
125,0.2
126,0.2
127,0.2
128,0.2
129,0.2
130,0.2
131,0.4
132,0.2
133,0.4
134,0.4
135,0
136,0.2
137,0.2
138,0.4
139,0.2
140,0.4
141,0
142,0.6
143,0.2
144,0.4
145,0.4
146,0.4
147,0.4
148,0
149,0.6
150,0.2
151,0.6
152,0
153,0.4
154,0
155,0.2
156,0
157,0
158,0.2
159,0.4
160,0
161,0.6
162,0.2
163,0.4
164,0.2
165,0.2
166,0.2
167,0.6
168,0.2
169,0
170,0
171,0.2
172,0.4
173,0.2
174,0.2
175,0
176,0.2
177,0.2
178,0.2
179,0.4
180,0.2
181,0
182,0.6
183,0.4
184,0.4
185,0.4
186,0.4
187,0.4
188,0.6
189,0.2
190,0.6
191,0
192,0.2
193,0.4
194,0
195,0
196,0.4
197,0.2
198,0.2
199,0.2
200,0.2
201,0.2
202,0.4
203,0.2
204,0.4
205,0.2
206,0
207,0.6
208,0.2
209,0.2
210,0.8
211,0.4
212,0.4
213,0
214,0
215,0.2
216,0
217,0.2
218,0.2
219,0.4
220,0.6
221,0
222,0
223,0.4
224,0.6
225,0.2
226,0.4
227,0.2
228,0.6
229,0.2
230,0.4
231,0.2
232,0.4
233,0.2
234,0
235,0.6
236,0.4
237,0.2
238,0.2
239,0.2
240,0.6
241,0
242,0.2
243,0.2
244,0.2
245,0.2
246,0.8
247,0.4
248,0
249,0.2
250,0.2
251,0.6
252,0.4
253,0.4
254,0.2
255,0.4
256,0.2
257,0.8
258,0.6
259,0.6
260,0.2
261,0.4
262,0.4
263,0.4
264,0.2
265,0.2
266,0
267,0.2
268,0.2
269,0.6
270,0
271,0.2
272,0.4
273,0
274,0.8
275,0.4
276,0.6
277,0.2
278,0.2
279,0.2
280,0.2
281,0.2
282,0.4
283,0.4
284,0.6
285,0.6
286,0
287,0.2
288,0
289,0
290,0
291,0
292,0.4
293,0.4
294,0.4
295,0
296,0.6
297,0.6
298,0.4
299,0.2
300,0.2
301,0.2
302,0.4
303,0.6
304,0.8
305,0.4
306,0.6
307,0
308,0.2
309,0.6
310,0.4
311,0.4
312,0.6
313,0.4
314,0
315,0.4
316,0.4
317,0
318,0.4
319,0.2
320,0.2
321,0.2
322,0
323,0.6
324,0.2
325,0.6
326,0.4
327,0.8
328,0.2
329,0.4
330,0.2
331,0.2
332,0.4
333,0.2
334,0.2
335,0.2
336,0
337,0
338,0.4
339,0.4
340,0.4
341,0.2
342,0
343,0.4
344,0.2
345,0.2
346,0
347,0.2
348,0.6
349,0.4
350,0.6
351,0.2
352,0.2
353,0.4
354,0.4
355,0.6
356,0
357,0.2
358,0
359,0.4
360,0.4
361,0
362,0.2
363,0.4
364,0.4
365,0.2
366,0.2
367,0
368,0.6
