,Training Accuracies
0,1.0
1,0.0
2,0.0
3,0.5
4,0.25
5,0.5
6,0.5
7,0.75
8,0.0
9,0.5
10,0.5
11,0.25
12,0.25
13,0.5
14,0.0
15,0.25
16,0.0
17,0.25
18,0.75
19,0.5
20,0.5
21,0.25
22,0.75
23,0.25
24,0.75
25,0.25
26,0.25
27,0.0
28,0.75
29,0.5
30,0.0
31,0.0
32,0.25
33,0.5
34,0.25
35,0.0
36,0.5
37,0.25
38,0.5
39,0.25
40,0.0
41,0.5
42,0.0
43,0.0
44,0.25
45,0.25
46,0.25
47,0.25
48,0.0
49,0.25
50,0.0
51,0.25
52,0.25
53,0.25
54,0.25
55,0.0
56,0.0
57,0.5
58,0.0
59,0.25
60,0.5
61,0.25
62,0.5
63,0.0
64,0.25
65,0.5
66,0.25
67,0.0
68,0.0
69,0.5
70,0.75
71,0.0
72,0.25
73,0.25
74,0.75
75,0.25
76,0.75
77,0.25
78,0.5
79,0.5
80,0.75
81,0.25
82,0.0
83,0.25
84,0.0
85,0.5
86,0.25
87,0.25
88,0.5
89,0.5
90,0.0
91,0.75
92,0.5
93,0.5
94,0.25
95,0.5
96,0.0
97,0.0
98,1.0
99,0.75
100,0.75
101,0.25
102,0.0
103,0.0
104,0.0
105,0.25
106,0.0
107,0.25
108,0.5
109,0.0
110,0.0
111,0.25
112,0.25
113,0.25
114,0.0
115,0.75
116,0.0
117,0.25
118,0.25
119,0.5
120,0.0
121,0.0
122,0.25
123,0.25
124,0.0
125,0.75
126,0.0
127,0.25
128,0.0
129,0.0
130,0.25
131,0.75
132,0.25
133,0.5
134,0.25
135,0.25
136,0.75
137,0.5
138,0.25
139,0.5
140,1.0
141,1.0
142,0.0
143,0.75
144,0.25
145,0.25
146,0.25
147,0.0
148,0.25
149,0.5
150,0.25
151,0.25
152,0.25
153,1.0
154,0.25
155,0.5
156,0.25
157,0.0
158,0.5
159,0.25
160,0.0
161,0.5
162,0.25
163,0.75
164,0.5
165,0.5
166,0.5
167,0.25
168,0.5
169,0.25
170,0.25
171,0.5
172,0.25
173,0.25
174,0.5
175,0.25
176,0.0
177,0.0
178,0.75
179,0.5
180,0.0
181,0.25
182,0.5
183,0.5
184,0.0
185,0.0
186,0.0
187,0.25
188,0.0
189,0.0
190,0.5
191,0.25
192,0.25
193,0.75
194,0.25
195,0.25
196,0.25
197,0.0
198,0.25
199,0.5
200,0.25
201,0.5
202,0.75
203,0.25
204,0.0
205,0.0
206,0.25
207,0.0
208,0.25
209,0.5
210,0.0
211,0.25
212,0.75
213,0.5
214,0.5
215,0.0
216,1.0
217,0.5
218,0.5
219,0.0
220,0.5
221,0.5
222,0.5
223,0.25
224,0.75
225,0.25
226,0.5
227,0.5
228,0.0
229,0.75
230,0.25
231,1.0
232,0.5
233,0.0
234,0.0
235,0.5
236,0.5
237,0.5
238,0.25
239,0.0
240,0.5
241,0.0
242,0.5
243,0.0
244,0.5
245,0.25
246,0.5
247,0.25
248,0.5
249,0.5
250,0.25
251,0.5
252,0.25
253,0.75
254,0.75
255,0.5
256,0.75
257,0.0
258,0.5
259,0.0
260,0.0
261,0.25
262,0.5
263,0.75
264,0.25
265,0.75
266,0.0
267,0.25
268,0.25
269,0.25
270,0.0
271,0.0
272,0.5
273,0.0
274,0.25
275,0.25
276,0.25
277,0.0
278,0.25
279,0.0
280,0.25
281,0.25
282,0.0
283,0.0
284,0.25
285,0.25
286,0.5
287,0.25
288,0.5
289,0.0
290,0.25
291,0.75
292,0.25
293,0.5
294,0.25
295,0.25
296,0.25
297,0.0
298,0.5
299,0.5
300,0.25
301,0.0
302,0.0
303,0.75
304,0.5
305,0.25
306,0.5
307,0.5
308,0.25
309,0.0
310,0.5
311,0.5
312,0.25
313,0.75
314,0.0
315,0.5
316,0.25
317,0.25
318,0.25
319,0.5
320,0.25
321,0.25
322,0.0
323,0.0
324,0.0
325,0.5
326,0.25
327,0.0
328,0.0
329,0.25
330,0.0
331,0.5
332,0.5
333,0.0
334,0.0
335,0.25
336,0.5
337,0.25
338,0.0
339,0.25
340,0.25
341,0.5
342,0.25
343,0.0
344,0.25
345,0.25
346,0.5
347,0.25
348,0.25
349,0.75
350,0.25
351,0.25
352,0.0
353,0.5
354,0.25
355,0.0
356,0.25
357,0.0
358,0.75
359,0.25
360,0.5
361,0.5
362,0.5
363,0.0
364,0.25
365,0.5
366,0.0
367,0.25
368,0.25
369,0.0
370,0.75
371,0.25
372,0.25
373,0.0
374,0.25
375,0.5
376,0.75
377,0.5
378,0.5
379,0.5
380,0.5
381,0.5
382,0.5
383,0.25
384,0.0
385,0.25
386,0.0
387,0.0
388,0.25
389,0.0
390,0.0
391,0.25
392,0.0
393,0.75
394,0.0
395,0.0
396,0.25
397,0.25
398,0.5
399,0.5
