,Training Accuracies
0,0.4
1,0.8
2,0.2
3,1
4,0.2
5,0.8
6,0.2
7,0.4
8,0.2
9,1
10,0.2
11,0.6
12,0.4
13,0.6
14,0.4
15,0.4
16,0.2
17,0.8
18,0.8
19,0.4
20,0
21,0.6
22,0.4
23,0.2
24,0.2
25,0
26,0.8
27,0.2
28,0.4
29,1
30,0.4
31,0.6
32,0.6
33,0.4
34,0.6
35,0.6
36,0.2
37,0.4
38,0.2
39,0.6
40,0.4
41,0.2
42,0.8
43,0.8
44,1
45,0.4
46,0.2
47,0.6
48,0.2
49,0.4
50,0.2
51,0.6
52,0.2
53,0.4
54,1
55,0.8
56,0.8
57,0.2
58,0.4
59,0.6
60,0.2
61,0.4
62,0.2
63,0.6
64,0.6
65,0.4
66,0.6
67,0.6
68,0.4
69,1
70,0.4
71,0.2
72,0.8
73,0
74,0.2
75,0.2
76,0.4
77,0.6
78,0
79,0.4
80,0.8
81,0.8
82,0.2
83,0.4
84,0.4
85,0.6
86,0.4
87,0.6
88,0.2
89,1
90,0.2
91,0.4
92,0.2
93,0.8
94,0.2
95,1
96,0.2
97,0.8
98,0.4
99,0.6
100,0.8
101,0.6
102,0.4
103,0.4
104,0.4
105,0.2
106,0.8
107,1
108,0.8
109,0.6
110,0.8
111,0.6
112,0.4
113,1
114,0.8
115,0.8
116,0.4
117,0.8
118,0.4
119,0.6
120,0.6
121,0.8
122,0.6
123,0.6
124,0.8
125,1
126,0.8
127,0.8
128,1
129,0.6
130,1
131,1
132,1
133,0.8
134,1
135,0.8
136,0.8
137,1
138,0.6
139,1
140,1
141,0.6
142,0.8
143,0.6
144,1
145,0.6
146,1
147,0.6
148,0.4
149,0.6
150,1
151,0.6
152,1
153,0.8
154,0.6
155,1
156,0.6
157,1
158,0.6
159,0.8
160,0.4
161,0.8
162,0.6
163,1
164,0.6
165,0.8
166,0.6
167,0.6
168,0.8
169,0.8
170,1
171,0.6
172,1
173,1
174,1
175,1
176,1
177,0.6
178,0.6
179,1
180,1
181,1
182,0.4
183,1
184,0.8
185,1
186,0.6
187,0.4
188,1
189,0.8
190,1
191,1
192,0.6
193,0.6
194,1
195,0.6
196,0.8
197,1
198,0.6
199,1
200,1
201,1
202,0.8
203,0.8
204,1
205,1
206,1
207,1
208,1
209,0.6
210,0.6
211,0.8
212,0.6
213,1
214,1
215,1
216,1
217,0.6
218,0.8
219,1
220,0.8
221,0.4
222,0.8
223,1
224,0.6
225,1
226,1
227,1
228,1
229,0.6
230,1
231,0.6
232,0.8
233,1
234,1
235,0.6
236,1
237,1
238,0.6
239,0.6
240,1
241,1
242,0.6
243,0.6
244,1
245,0.4
246,0.6
247,1
248,1
249,0.6
250,0.4
251,1
252,0.8
253,0.6
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,0.8
262,0.6
263,0.8
264,1
265,0.8
266,1
267,0.8
268,0.6
269,0.8
270,1
271,0.8
272,1
273,1
274,0.4
275,1
276,0.2
277,1
278,1
279,0.8
280,1
281,1
282,0.8
283,1
284,1
285,0.6
286,0.6
287,1
288,0.6
289,1
290,1
291,1
292,1
293,0.8
294,1
295,0.6
296,1
297,1
298,0.8
299,0.4
300,0.8
301,1
302,1
303,1
304,1
305,1
306,0.8
307,1
308,1
309,0.6
310,1
311,1
312,1
313,0.8
